date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
2018-06-25,273.44,273.62,269.1,271.0,981200.2,270.934,406478,275.4255,280.9718,269.8792,267.6821,40.6249,270.36,271.3,270.0,383.9,119.89,642.0,1442.0
2018-06-26,271.64,272.56,270.79,271.6,552277.18,271.764,243879,275.5545,280.5959,270.5131,267.7336,42.6446,271.3,272.02,270.0,383.9,119.26,605.0,1427.0
2018-06-27,272.26,273.87,269.18,269.35,771747.39,271.2745,329284,275.3915,280.9839,269.7991,267.7627,37.4939,269.0,270.36,265.0,383.9,118.58,657.5,1483.0
2018-06-28,269.29,271.75,268.49,270.89,604914.9,270.0215,289354,275.389,280.9894,269.7886,267.8063,42.6038,270.36,271.3,270.0,383.9,118.22,642.0,1446.0
2018-06-29,272.12,273.66,271.19,271.28,598339.14,272.51,254144,275.273,281.108,269.438,267.8535,43.8556,270.36,271.3,270.0,383.9,118.65,617.0,1439.0
2018-07-02,269.51,272.04,269.24,271.86,481303.86,270.5215,214594,275.121,281.1423,269.0997,267.8969,45.7505,271.3,272.02,270.0,383.9,117.46,618.5,1406.0
2018-07-03,272.87,272.98,270.42,270.9,299437.23,271.8795,136478,274.911,281.2073,268.6147,267.917,43.1543,270.36,271.3,270.0,383.9,118.65,626.0,1456.0
2018-07-05,272.16,273.18,270.96,273.11,415116.44,272.2825,197419,274.6965,280.931,268.462,267.9647,50.1652,273.09,273.44,270.0,383.9,119.05,593.0,1402.0
2018-07-06,273.14,275.84,272.71,275.42,470061.12,274.9675,204266,274.599,280.7232,268.4748,268.0414,56.2403,274.25,277.48,275.0,383.9,118.86,549.5,1340.0
2018-07-09,276.55,277.96,276.5,277.9,326034.84,277.353,158061,274.5845,280.6759,268.4931,268.1113,61.6461,277.48,279.16,275.0,383.9,119.15,503.5,1301.0
2018-07-10,278.41,279.01,278.08,278.9,380668.64,278.639,155679,274.6015,280.739,268.464,268.1998,63.5988,277.48,279.16,275.0,383.9,118.93,491.0,1299.0
2018-07-11,277.14,278.04,276.52,276.86,563548.89,277.2535,233436,274.4985,280.4075,268.5895,268.3038,57.2009,274.25,277.48,275.0,383.9,117.64,514.5,1320.0
2018-07-12,278.27,279.43,277.6,279.37,427824.44,278.7865,182865,274.5655,280.6606,268.4704,268.4038,62.2348,279.16,280.4,275.0,383.9,118.13,488.5,1253.0
