,date,open,high,low,close,volume,average,barCount,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres,GLD,UVXY,SQQQ
219,2021-10-14 10:09:00,441.67,441.69,441.61,441.65,832,441.649,390,441.901,442.221,441.581,440.5705,37.8845,441.65,441.7,436.12,443.22,167.98,18.57,7.99
220,2021-10-14 10:10:00,441.65,441.74,441.63,441.65,1146,441.691,559,441.882,442.214,441.55,440.5751,37.8845,441.65,441.7,436.12,443.22,168.01,18.58,8.0
221,2021-10-14 10:11:00,441.64,441.65,441.59,441.64,572,441.622,320,441.8655,442.2109,441.5201,440.5774,37.443,441.64,441.65,436.12,443.22,167.99,18.58,8.0
222,2021-10-14 10:12:00,441.64,441.75,441.64,441.72,667,441.691,411,441.8545,442.2037,441.5053,440.5803,43.1506,441.7,441.76,436.12,443.22,168.0,18.57,7.99
223,2021-10-14 10:13:00,441.71,441.74,441.7,441.71,258,441.719,162,441.844,442.1973,441.4907,440.5813,42.6271,441.7,441.76,436.12,443.22,167.99,18.59,7.98
224,2021-10-14 10:14:00,441.72,441.75,441.7,441.71,287,441.73,192,441.8295,442.1798,441.4792,440.5826,42.6271,441.7,441.76,436.12,443.22,167.99,18.6,7.99
225,2021-10-14 10:15:00,441.72,441.73,441.65,441.69,912,441.693,441,441.819,442.1728,441.4652,440.5863,41.4602,441.65,441.7,436.12,443.22,168.0,18.61,8.0
226,2021-10-14 10:16:00,441.68,441.77,441.66,441.77,577,441.715,266,441.8105,442.1604,441.4606,440.5888,47.6348,441.76,441.8,436.12,443.22,167.98,18.6,8.0
227,2021-10-14 10:17:00,441.76,441.81,441.74,441.77,727,441.781,413,441.804,442.1518,441.4562,440.592,47.6348,441.76,441.8,436.12,443.22,167.99,18.61,7.99
228,2021-10-14 10:18:00,441.78,441.78,441.7,441.72,429,441.722,309,441.79,442.1275,441.4525,440.5938,44.2515,441.7,441.76,436.12,443.22,168.0,18.6,8.0
229,2021-10-14 10:19:00,441.71,441.76,441.7,441.73,645,441.727,286,441.7715,442.0782,441.4648,440.5965,45.0915,441.7,441.76,436.12,443.22,167.97,18.61,8.0
230,2021-10-14 10:20:00,441.72,441.78,441.72,441.75,561,441.743,296,441.752,442.0079,441.4961,440.5989,46.8174,441.7,441.76,436.12,443.22,167.93,18.61,8.0
