,Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location,BASIC_COLOUR,BODY_TYPE,CC_RATING,MAKE,ORIGINAL_COUNTRY,VEHICLE_TYPE,VEHICLE_YEAR
157,SILVER,TRAILER,FACTORY BUILT,2015,TRAILER,10/01/2022,CENTRAL,RED,OTHER COMMERCIAL TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1988
158,BLUE,NISSAN,SKYLINE,1989,SALOON,3/02/2022,WELLINGTON,BLACK,SALOON,1998,NISSAN,JAPAN,PASSENGER CAR/VAN,1986
159,SILVER,TRAILER,YAMAHA VXR,2015,BOAT TRAILER,10/11/2021,CANTERBURY,GREY,BOAT TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2013
160,SILVER,BRIFORD,TRAILER,2015,TRAILER - HEAVY,12/10/2021,WELLINGTON,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
161,SILVER,TRAILER,ROADLINE,2015,TRAILER,30/10/2021,NORTHLAND,BLACK,MOTORCYCLE,1500,FACTORY BUILT,NEW ZEALAND,MOTORCYCLE,2000
162,SILVER,TRAILER,TRAYLA,2015,TRAILER,13/01/2022,WELLINGTON,GREY,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2003
163,SILVER,BRIFORD,TRAILER,2015,TRAILER - HEAVY,31/12/2021,WAIKATO,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
164,SILVER,BRIFORD,TRAILER,2015,TRAILER - HEAVY,8/12/2021,COUNTIES/MANUKAU,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
165,RED,CLASSIC,HALF VISTA,1972,CARAVAN,16/03/2022,BAY OF PLENTY,RED,CARAVAN,0,CLASSIC,NEW ZEALAND,TRAILER/CARAVAN,1972
166,WHITE,TRAILER,CANTERBURY FABRICAT,2015,TRAILER - HEAVY,8/03/2022,CENTRAL,WHITE,OTHER COMMERCIAL TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2015
167,SILVER,TRAILER,4.5M FLATDECK,2015,TRAILER,28/01/2022,WAIKATO,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2015
168,SILVER,TRAILER,ELITE 8X4,2016,TRAILER,30/03/2022,CANTERBURY,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2009
169,SILVER,TRAILER,ROADCHIEF 8X5,2019,TRAILER,24/03/2022,SOUTHERN,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2013
170,SILVER,TRAILER,LOCAL,1998,TRAILER,25/12/2021,CENTRAL,CREAM,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1957
171,SILVER,TRAILER,BOAT,2012,BOAT TRAILER,22/12/2021,WAITEMATA,SILVER,BOAT TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1965
172,SILVER,TRAILER,MM INDUSTRIES,2019,TRAILER - HEAVY,11/10/2021,WAITEMATA,SILVER,OTHER COMMERCIAL TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2018
173,SILVER,KEA,KC85E,2019,TRAILER,1/04/2022,BAY OF PLENTY,SILVER,DOMESTIC TRAILER,0,KEA,NEW ZEALAND,TRAILER/CARAVAN,2018
174,SILVER,KEA,KC106AB,2019,TRAILER,29/03/2022,WAIKATO,SILVER,DOMESTIC TRAILER,0,KEA,NEW ZEALAND,TRAILER/CARAVAN,2019
175,SILVER,TRAILER,BOAT TRAILER,2019,BOAT TRAILER,12/02/2022,COUNTIES/MANUKAU,WHITE,BOAT TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1970
176,SILVER,KEA,CAGE,2019,TRAILER - HEAVY,24/11/2021,WAIKATO,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2011
177,CREAM,VESPA,SPORTIQUE,1963,MOPED,7/12/2021,SOUTHERN,GREEN,MOTORCYCLE,150,VESPA,ITALY,MOTORCYCLE,1963
178,SILVER,BRIFORD,5X4,2019,TRAILER,2/11/2021,CANTERBURY,SILVER,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1987
179,SILVER,TRAILER,CTDIG,2019,TRAILER,22/11/2021,BAY OF PLENTY,GREY,OTHER COMMERCIAL TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2018
180,YELLOW,SUZUKI,DR-Z400,2005,ROADBIKE,12/10/2021,CANTERBURY,YELLOW,MOTORCYCLE,398,SUZUKI,JAPAN,MOTORCYCLE,2001
181,GREY,RHINO,DOMESTIC TRAILER,2019,TRAILER,28/10/2021,NORTHLAND,GREY,DOMESTIC TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1986
182,BLUE,HOMEBUILT,TRAILER,1990,TRAILER,19/03/2022,WELLINGTON,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
183,GREY,TRAILER,HOMEMADE,1981,TRAILER,16/02/2022,COUNTIES/MANUKAU,GREEN,OTHER COMMERCIAL TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1993
184,SILVER,TRAILER,TRAYLA,2019,TRAILER,4/02/2022,CENTRAL,GREY,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2003
185,SILVER,BRICON,357J,2019,BOAT TRAILER,16/12/2021,WAITEMATA,SILVER,BOAT TRAILER,0,BRICON,CHINA,TRAILER/CARAVAN,2019
186,SILVER,TRAILER,SMASH PALACE,2019,TRAILER,7/03/2022,CANTERBURY,SILVER,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2019
187,WHITE,TRAILER,BRIFORD 5X4 SHUTTLE,1996,TRAILER,31/10/2021,CANTERBURY,WHITE,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,1996
188,SILVER,TRAILER,DIAMOND,2019,TRAILER,19/01/2022,CENTRAL,SILVER,DOMESTIC TRAILER,0,TRAILER,CHINA,TRAILER/CARAVAN,2015
189,SILVER,KEA,K844XA,2019,TRAILER,2/04/2022,WAIKATO,SILVER,DOMESTIC TRAILER,0,KEA,NEW ZEALAND,TRAILER/CARAVAN,2018
190,SILVER,TRAILER,TUFF,2019,TRAILER,1/11/2021,COUNTIES/MANUKAU,SILVER,DOMESTIC TRAILER,0,TRAILER,CHINA,TRAILER/CARAVAN,2016
191,WHITE,TRAILER,DMW,2006,CARAVAN,7/12/2021,AUCKLAND CITY,SILVER,BOAT TRAILER,0,CUSTOMBUILT,NEW ZEALAND,TRAILER/CARAVAN,1987
192,SILVER,BRIFORD,TRAILER,2015,TRAILER - HEAVY,8/03/2022,WAITEMATA,CREAM,FLAT-DECK TRAILER,0,STEELBRO,NEW ZEALAND,TRAILER/CARAVAN,1994
193,GREEN,TRAILER,HOMEMADE,1979,TRAILER,2/12/2021,CANTERBURY,GREEN,OTHER COMMERCIAL TRAILER,0,HOMEBUILT,NEW ZEALAND,TRAILER/CARAVAN,1993
194,SILVER,TRAILER,CABLE DRUM,2019,TRAILER - HEAVY,13/03/2022,TASMAN,BLUE,DOMESTIC TRAILER,0,TRAILER,NEW ZEALAND,TRAILER/CARAVAN,2006
195,SILVER,TRAILER,LOCAL,1999,TRAILER,2/02/2022,AUCKLAND CITY,CREAM,DOMESTIC TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1957
196,SILVER,TRAILER,KING,1998,TRAILER,19/02/2022,CENTRAL,BLUE,FLAT-DECK TRAILER,0,TRAILER,NOT KNOWN,TRAILER/CARAVAN,1983
