date,open,high,low,close,volume,average,barCount,GLD,UVXY,SQQQ,CVX,RIO,NUE,LWAY,TSN,NTR,ADM,HYG,SRLN,JNK,EWH,GBTC,USO,DIA,QQQ,IWM,IEF,SIVR,FXB,FXE,bb_bbm,bb_bbh,bb_bbl,VWAP,RSI,STsupp,STres,LTsupp,LTres
2019-06-24,294.23,294.58,293.47,293.64,310274.82,294.035,135423,133.94,321.3,865.5,124.91,60.94,53.74,4.0,80.82,54.88,40.73,87.32,46.19,109.08,25.83,14.64,96.08,267.17,188.16,152.08,109.92,15.0,123.56,108.47,286.333,298.9629,273.7031,274.5655,62.7377,293.62,293.93,293.62,293.93
2019-06-25,293.69,293.73,290.64,290.76,504551.16,291.8525,219233,134.2,334.7,902.75,123.64,60.99,54.29,3.74,79.97,54.11,40.42,86.95,46.15,108.68,25.57,14.88,96.0,265.26,184.93,151.15,110.09,14.89,123.04,108.22,286.8635,299.2999,274.4271,274.6142,55.2544,290.34,291.74,290.34,291.74
2019-06-26,291.75,292.31,290.34,290.47,328667.58,291.1695,144446,132.97,329.9,891.25,123.93,61.7,55.12,3.89,79.52,53.99,40.5,86.91,46.17,108.6,25.73,17.08,98.32,265.22,185.79,150.8,109.64,14.83,123.07,108.19,287.4735,299.3481,275.5989,274.6453,54.5489,290.34,291.74,290.34,291.74
2019-06-27,291.31,292.06,290.89,291.5,291462.11,291.612,122308,132.84,321.9,881.75,123.11,61.95,54.57,3.59,79.65,53.69,40.57,87.15,46.26,108.87,26.0,13.82,98.32,265.15,186.5,153.63,109.97,14.8,122.87,108.21,288.097,299.43,276.764,274.6745,56.6654,290.34,291.74,290.34,291.74
2019-06-28,292.58,293.55,292.01,293.0,415210.22,292.6615,170965,133.2,314.9,878.75,124.44,62.34,55.1,3.64,80.74,53.46,40.8,87.18,46.22,108.94,25.88,15.13,96.32,265.85,186.74,155.5,110.02,14.86,123.14,108.27,288.9835,298.8422,279.1248,274.7195,59.6149,292.24,293.62,292.24,293.62
2019-07-01,296.68,296.92,294.33,295.66,526062.78,295.544,220344,130.62,289.1,843.5,124.84,62.78,55.67,3.34,80.96,53.81,41.4,86.82,46.12,108.42,26.13,12.73,98.24,266.97,189.26,156.1,109.69,14.68,122.57,107.45,290.038,297.7912,282.2848,274.7846,64.2604,294.88,295.97,294.88,295.97
2019-07-02,295.61,296.49,294.68,296.43,428849.49,295.6045,169388,133.41,273.0,833.5,122.93,63.73,55.14,3.11,81.28,53.75,41.49,87.01,46.11,108.63,26.37,13.96,93.6,267.66,190.01,155.15,110.08,14.83,122.18,107.41,290.833,297.7377,283.9283,274.8393,65.4976,296.31,296.7,296.31,296.7
2019-07-03,297.19,298.82,297.02,298.8,264009.6,298.0275,109220,133.63,270.0,815.25,123.35,63.31,55.29,3.15,82.16,52.9,41.87,87.34,46.1,109.01,26.53,14.7,94.16,269.56,191.44,156.26,110.29,14.85,121.95,107.38,291.625,298.3676,284.8824,274.8766,69.0492,298.49,298.93,298.49,298.93
2019-07-05,297.45,298.64,296.01,298.46,356792.22,297.395,153286,132.14,271.5,820.0,123.54,60.05,55.31,3.27,82.63,53.51,41.94,86.99,46.11,108.61,26.37,14.67,95.6,269.27,191.05,156.68,109.59,14.59,121.45,106.84,292.308,298.9129,285.7031,274.926,67.9683,296.74,298.49,296.74,298.49
2019-07-08,297.01,297.35,296.22,296.82,301871.2,296.7345,130747,131.29,283.3,837.75,123.6,60.48,54.55,3.21,81.92,52.45,41.84,86.82,46.13,108.43,26.22,15.73,95.44,268.06,189.71,155.19,109.48,14.57,121.32,106.68,292.7665,299.2869,286.2461,274.9647,62.8569,296.74,298.49,296.74,298.49
2019-07-09,295.54,297.52,295.48,297.19,278692.01,296.7395,113712,131.75,284.2,824.5,123.35,60.58,54.52,3.12,82.15,51.45,41.77,86.72,46.08,108.29,25.95,16.35,96.32,267.86,190.66,155.4,109.41,14.68,120.84,106.67,293.1775,299.7251,286.6299,275.001,63.5234,296.74,298.49,296.74,298.49
2019-07-10,298.37,299.66,297.78,298.61,405490.75,298.7005,170289,133.83,271.1,800.5,125.44,61.39,54.17,3.13,82.03,50.66,41.8,86.96,46.12,108.6,25.98,15.24,100.24,268.69,192.56,155.67,109.47,14.8,121.25,107.08,293.663,300.3091,287.0169,275.0568,66.0418,298.49,298.93,298.49,298.93
2019-07-11,299.32,299.58,298.2,299.31,381219.49,299.023,152773,132.7,264.5,802.5,125.43,60.85,54.1,3.0,81.43,50.05,41.73,86.79,46.16,108.39,25.99,14.89,100.4,270.92,192.42,154.91,108.93,14.695,121.48,107.12,294.209,300.8268,287.5912,275.1107,67.2425,298.93,301.13,298.93,301.13
2019-07-12,299.85,300.73,299.51,300.65,308647.9,300.1075,113640,133.53,257.6,789.25,125.98,60.71,55.17,3.14,81.38,49.94,41.92,86.93,46.16,108.48,26.18,14.85,100.16,273.39,193.53,156.11,109.05,14.79,121.92,107.27,294.7625,301.5876,287.9374,275.1565,69.4679,298.93,301.13,298.93,301.13
2019-07-15,301.13,301.13,300.19,300.75,222927.23,300.578,96695,133.53,256.7,782.0,125.72,61.51,55.23,3.18,81.75,50.23,41.74,86.99,46.23,108.63,26.16,14.46,98.4,273.6,194.15,155.29,109.28,14.95,121.39,107.13,295.337,302.147,288.527,275.1897,69.6337,298.93,301.13,298.93,301.13
2019-07-16,300.65,300.88,299.44,299.71,290187.33,300.0875,123550,132.4,258.2,794.0,124.76,60.43,55.56,3.36,79.13,50.96,40.82,86.81,46.18,108.38,26.19,12.61,96.56,273.42,193.15,155.24,109.04,15.075,120.32,106.68,295.854,302.3356,289.3724,275.2309,65.6415,298.93,301.13,298.93,301.13
2019-07-17,299.75,299.93,297.74,297.74,302471.09,298.7285,123884,134.58,266.6,805.5,124.14,60.96,54.7,3.27,79.14,51.05,40.31,86.7,46.29,108.34,26.15,12.85,94.0,272.28,192.2,154.13,109.55,15.5,120.6,106.82,296.121,302.4496,289.7924,275.2703,58.7682,296.74,298.49,296.74,298.49
2019-07-18,297.19,299.25,296.7,298.83,395463.72,297.956,162057,136.48,263.6,802.5,124.68,60.65,54.69,3.15,80.96,51.08,40.16,86.74,46.28,108.32,26.27,13.67,92.48,272.27,192.42,154.71,109.82,15.85,121.73,107.29,296.4095,302.6794,290.1396,275.3241,61.1897,298.49,298.93,298.49,298.93
